_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
158.1933262,-46.6555698,193,J0226.3+0941,0,Y,PMN J0226+0937,36.55715,9.6241,0.064,0.076,fsrq,-,,,2.605,1.0,0.874,0.0,,375.14,N,,18.337,,0.66,,Simbad
261.8662166,-64.1025252,194,J0226.5-4442,0,Y,RBS 0318,36.66196,-44.68958,0.033,0.067,bcu I,HSP,16.3,16.3,,0.996,0.0,0.891,-0.422,11.6,N,49.6,19.394,,0.42,0.76,Simbad
165.1044529,-52.807441,195,J0227.2+0201,0,Y,RX J0227.2+0201,36.81913,2.03334,0.013,0.064,bll,HSP,16.64,16.803,0.456,0.999,0.0,0.961,-0.536,36.95,N,393.0,18.457,18.39,0.38,0.5,Simbad
150.2247429,-34.9075118,196,J0228.0+2248,0,Y,NVSS J022744+224834,36.93484,22.80951,0.068,0.115,bcu II,LSP,13.39,13.39,,0.967,0.0,0.0,-0.259,46.17,N,,,18.98,0.48,,Simbad
278.2289983,-56.4647971,197,J0228.3-5545,0,Y,PKS 0226-559,37.08999,-55.76758,0.009,0.05,fsrq,LSP,12.29,12.83,2.464,1.0,0.921,0.0,1.375,350.2,S,,19.076,,0.73,,Simbad
229.2225397,-68.5418526,198,J0228.7-3106,0,Y,PMN J0228-3102,37.05405,-31.04457,0.138,0.136,bcu II,ISP,14.2,14.2,,0.808,0.0,0.0,0.111,98.13,N,3.41,19.644,,0.67,1.17,Simbad
243.9323365,-67.1781297,199,J0229.3-3643,0,Y,PKS 0227-369,37.36854,-36.73245,0.019,0.058,fsrq,LSP,12.585,13.078,2.115,1.0,0.863,0.0,1.435,117.38,N,,,,,,Simbad
280.2047475,-54.5880874,200,J0230.6-5757,0,Y,PKS 0229-581,37.78846,-57.91839,0.073,0.084,bll,ISP,14.95,14.964,0.03199,0.949,0.845,0.0,-2.341,254.4,S,,9.189,,-0.13,2.52,Simbad
142.5949714,-18.5008046,201,J0230.8+4032,0,Y,B3 0227+403,37.69046,40.54807,0.01,0.046,fsrq,LSP,13.215,13.52,1.019,1.0,0.938,0.0,1.429,451.59,N,,18.186,,0.68,,Simbad
152.9410991,-36.6072831,202,J0232.8+2016,1,Y,1ES 0229+200,38.20256,20.28819,0.023,0.051,bll,HSP,15.425,15.481,0.139,1.0,0.851,0.945,-1.229,83.51,N,157.0,14.646,15.31,0.23,1.22,Simbad
149.7100036,-31.3787703,203,J0232.9+2606,0,Y,B2 0230+25,38.23482,26.16192,0.058,0.093,bcu II,ISP,14.6,14.6,,0.987,0.0,0.0,-0.303,98.33,N,,18.744,18.08,0.44,,Simbad
283.1959357,-51.2924472,204,J0236.7-6136,0,Y,PKS 0235-618,39.22186,-61.60422,0.013,0.035,fsrq,LSP,13.215,13.381,0.465,1.0,0.953,0.887,0.233,634.5,S,15.7,17.753,,0.65,1.12,Simbad
241.1825505,-65.7978656,205,J0237.5-3603,0,Y,RBS 0334,39.39186,-36.0579,0.006,0.039,bll,HSP,15.975,16.125,0.411,1.0,0.824,0.927,-0.767,27.2,N,44.8,16.194,,0.23,1.25,Simbad
149.4658272,-28.5283125,206,J0237.9+2848,0,Y,4C +28.07,39.46836,28.8025,0.011,0.018,fsrq,LSP,12.88,13.225,1.213,1.0,0.984,0.926,0.942,2197.53,N,16.1,17.585,17.55,0.76,1.15,Simbad
248.0445994,-64.8167832,207,J0238.3-3904,0,Y,1RXS J023800.5-390505,39.50264,-39.08465,0.067,0.088,bll,ISP,14.64,14.64,0.2,0.982,0.0,0.0,-0.642,65.21,N,,17.052,,0.45,1.19,Simbad
229.4575549,-66.3221337,208,J0238.4-3117,0,Y,1RXS J023832.6-311658,39.63534,-31.28279,0.02,0.038,bll,HSP,16.16,16.251,0.232,0.999,0.865,0.942,-1.041,71.49,N,90.6,15.806,,0.3,1.18,Simbad
156.7707247,-39.1094739,209,J0238.6+1636,0,Y,AO 0235+164,39.66221,16.61647,0.005,0.016,bll,LSP,13.025,13.313,0.94,1.0,0.985,0.0,0.025,1941.92,N,,17.132,,0.64,1.49,Simbad
161.8566695,-43.3056341,210,J0242.3+1059,0,Y,OD 166,40.62155,11.01687,0.043,0.184,fsrq,LSP,12.55,13.116,2.68,0.997,0.927,0.0,1.005,1664.83,N,,20.06,,0.91,,Simbad
131.7228521,10.4053518,211,J0243.5+7119,0,Y,S5 0238+711,40.87871,71.33831,0.011,0.054,bll,ISP,14.352,14.352,,1.0,0.899,0.0,,211.57,N,,18.989,,0.54,1.86,Simbad
298.4124111,-33.6059743,212,J0244.4-8224,0,Y,PMN J0251-8226,42.78847,-82.44145,0.223,0.201,bcu III,-,,,,0.849,0.0,0.0,-0.58,61.9,S,14.7,18.26,,0.58,1.19,Simbad
