_Glon,_Glat,recno,3FGL,VHE,Cln,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XGP,logCpt,FRad,n_FRad,FX,Vmag1,Vmag2,ARO,AOX,Simbad
128.7396329,34.735778,733,J1044.4+8058,0,N,S5 1039+81,161.09609,80.91096,0.058,0.112,fsrq,LSP,13.11,13.463,1.254,0.997,0.914,0.0,1.628,828.4,N,14.3,18.374,17.74,0.72,1.09,Simbad
272.6058523,25.9074875,734,J1045.7-2926,0,Y,PKS B1043-291,161.41927,-29.45731,0.027,0.068,fsrq,LSP,12.96,13.455,2.128,0.997,0.945,0.0,1.118,960.32,N,,18.992,,0.81,1.2,Simbad
270.5831532,29.3374312,735,J1046.9-2531,0,Y,NVSS J104651-253547,161.71436,-25.59647,0.072,0.068,bll,HSP,16.851,16.949,0.254,0.987,0.0,0.837,-0.479,14.26,N,45.3,18.814,,0.45,0.72,Simbad
134.7498506,41.5349371,736,J1047.6+7240,0,Y,GB6 J1047+7238,161.94801,72.63693,0.031,0.043,bll,LSP,13.915,13.915,,0.994,0.0,0.0,,36.58,N,,19.255,,0.72,,Simbad
135.4452337,42.2855578,737,J1048.4+7144,0,Y,S5 1044+71,162.11508,71.72665,0.016,0.029,fsrq,LSP,12.864,13.196,1.15,1.0,0.961,0.0,0.882,736.95,N,,17.117,,0.68,1.28,Simbad
213.2588274,62.1957726,738,J1048.6+2338,0,Y,NVSS J104900+233821,162.25105,23.63885,0.072,0.106,bll,HSP,15.0,15.12,0.319,0.999,0.0,0.0,0.321,25.82,N,,17.58,17.17,0.35,,Simbad
230.7943609,59.0029997,739,J1049.8+1425,0,Y,MG1 J104945+1429,162.44303,14.49405,0.07,0.111,bcu II,LSP,13.95,13.95,,0.986,0.0,0.0,0.823,131.32,N,,20.046,,0.7,,Simbad
178.3581684,62.1535472,740,J1051.4+3941,0,Y,RBS 0909,162.85566,39.7238,0.032,0.072,bll,ISP,14.768,14.944,0.498,0.994,0.0,0.884,-0.024,10.95,N,44.8,18.975,18.02,0.28,0.98,Simbad
250.180006,51.244794,741,J1051.8+0105,0,Y,NVSS J105151+010312,162.96597,1.05302,0.035,0.05,bll,ISP,13.985,14.087,0.265,0.996,0.0,0.0,0.026,16.42,N,,17.982,18.02,0.5,1.45,Simbad
278.439314,19.4515839,742,J1052.8-3741,0,Y,PMN J1053-3743,163.242,-37.72183,0.041,0.119,bcu II,ISP,14.475,14.475,,0.989,0.0,0.0,-0.29,63.53,N,,17.758,,0.48,,Simbad
160.2350271,58.2306018,743,J1053.7+4929,0,Y,GB6 J1053+4930,163.43386,49.49889,0.011,0.036,bll,HSP,15.15,15.207,0.14,0.999,0.873,0.878,-0.829,64.69,N,13.3,13.84,15.23,0.27,1.57,Simbad
217.0366058,63.0401661,744,J1054.5+2210,0,Y,87GB 105148.6+222705,163.6276,22.18189,0.018,0.032,bll,ISP,14.6,14.6,,0.999,0.874,0.0,,65.47,N,4.49,18.791,17.15,0.41,1.49,Simbad
271.8380653,32.1970804,745,J1057.3-2341,0,N,PKS B1054-234,164.35176,-23.70048,0.011,0.133,fsrq,LSP,12.305,12.632,1.125,0.996,0.0,0.0,0.554,141.39,N,,19.34,,0.68,,Simbad
274.3348439,28.5863803,746,J1057.6-2754,0,Y,RX J1057.8-2753,164.46167,-27.90315,0.045,0.059,bll,HSP,15.6,15.638,0.092,0.998,0.0,0.881,-1.427,63.87,N,45.9,14.154,,0.16,1.57,Simbad
135.9594216,43.920771,747,J1058.1+7010,0,Y,S5 1053+70,164.22341,70.19609,0.108,0.122,fsrq,LSP,12.32,12.863,2.492,0.996,0.807,0.0,1.428,311.01,N,,19.453,,0.76,0.99,Simbad
127.9735983,34.7476803,748,J1058.4+8112,0,Y,S5 1053+81,164.54806,81.24241,0.041,0.088,fsrq,LSP,12.76,12.992,0.706,0.999,0.858,0.0,1.267,240.44,N,5.06,19.121,,0.77,1.08,Simbad
251.510611,52.7739863,749,J1058.5+0133,0,Y,4C +01.28,164.62336,1.56634,0.004,0.02,bll,LSP,12.9,13.176,0.89,1.0,0.988,0.0,0.068,3220.85,N,,17.266,17.14,0.71,1.21,Simbad
298.0094476,-18.2881124,750,J1058.5-8003,0,Y,PKS 1057-79,164.68046,-80.06504,0.016,0.029,bll,LSP,12.795,12.994,0.581,1.0,0.951,0.873,0.179,558.5,S,12.1,18.056,,0.7,1.22,Simbad
149.5927662,54.4248173,751,J1058.6+5627,0,Y,TXS 1055+567,164.6572,56.46978,0.015,0.016,bll,HSP,15.05,15.108,0.143,0.999,0.933,0.937,-0.367,228.6,N,46.8,15.157,15.48,0.42,1.31,Simbad
264.114437,42.6834134,752,J1059.2-1133,0,Y,PKS B1056-113,164.80178,-11.57299,0.022,0.031,bll,LSP,13.56,13.56,,1.0,0.922,0.0,,261.28,N,,18.476,,0.67,1.15,Simbad
220.4627987,63.8029063,753,J1059.9+2056,0,Y,MG2 J105938+2057,164.91268,20.9561,0.066,0.107,fsrq,LSP,12.515,12.659,0.392,0.988,0.0,0.0,0.934,120.61,N,,18.589,18.07,0.62,,Simbad
175.8660778,63.5644902,754,J1100.5+4020,0,Y,RX J1100.3+4019,165.08776,40.32446,0.046,0.059,bll,HSP,16.525,16.613,0.225,0.981,0.0,0.923,-0.795,18.44,N,123.0,17.722,16.85,0.29,0.92,Simbad
173.9902327,63.4390155,755,J1101.5+4106,0,N,RX J1101.3+4108,165.35288,41.14654,0.046,0.078,bll,HSP,15.6,15.6,,0.988,0.0,0.0,,23.62,N,6.71,18.578,18.36,0.43,1.17,Simbad
174.1608202,63.4711999,756,J1101.5+4106,0,N,B3 1058+413,165.35246,41.06379,0.051,0.078,bcu III,-,,,,0.0,0.859,0.0,,249.75,N,,,,,,Simbad
238.4308893,60.4197376,757,J1103.1+1155,0,Y,TXS 1100+122,165.76471,11.97128,0.043,0.074,fsrq,ISP,14.232,14.514,0.914,0.996,0.873,0.0,1.476,263.14,N,,19.202,18.43,0.68,,Simbad
273.1897727,33.0793363,758,J1103.5-2329,1,Y,1ES 1101-232,165.90673,-23.492,0.011,0.046,bll,HSP,17.12,17.194,0.186,1.0,0.887,0.972,-1.241,121.11,N,509.0,15.971,,0.32,0.88,Simbad
245.6948236,57.9392172,759,J1104.3+0730,0,Y,MG1 J110424+0730,166.1003,7.51477,0.023,0.062,bll,ISP,14.55,14.55,,0.999,0.832,0.0,,78.38,N,,18.504,16.55,0.46,1.75,Simbad
179.8316729,65.0314798,760,J1104.4+3812,1,Y,Mkn 421,166.11381,38.20883,0.004,0.007,bll,HSP,17.06,17.073,0.031,1.0,0.985,0.997,-0.401,768.6,N,6780.0,8.541,12.55,0.29,0.92,Simbad
204.1159181,66.7023445,761,J1105.9+2814,0,Y,MG2 J110606+2812,166.53026,28.21307,0.039,0.064,fsrq,LSP,13.04,13.306,0.844,0.999,0.873,0.0,0.783,225.34,N,,19.794,17.53,0.61,1.4,Simbad
280.5485642,21.4815823,762,J1106.4-3643,0,Y,PMN J1106-3647,166.60018,-36.78303,0.05,0.058,bcu II,LSP,13.81,13.81,,0.989,0.0,0.0,0.574,52.6,N,,19.4,,0.59,,Simbad
284.1707565,14.2202562,763,J1107.4-4447,0,Y,PKS 1104-445,166.78623,-44.81878,0.059,0.103,fsrq,LSP,12.76,13.175,1.598,0.999,0.96,0.8,1.638,2516.0,S,23.7,17.406,,0.75,1.11,Simbad
253.372856,54.9236235,764,J1107.5+0223,0,Y,NVSS J110735+022225,166.89965,2.3735,0.017,0.07,bll,ISP,14.52,14.52,,0.997,0.0,0.0,,21.28,N,,18.59,18.25,0.47,,Simbad
234.3135809,63.0522784,765,J1107.8+1502,0,Y,RX J1107.7+1502,166.95026,15.03627,0.013,0.059,bll,ISP,14.56,14.56,,1.0,0.803,0.922,,43.62,N,71.6,18.766,17.7,0.43,0.92,Simbad
214.4796293,66.8299978,766,J1109.4+2411,0,Y,1ES 1106+244,167.31736,24.18893,0.045,0.085,bll,HSP,15.0,15.346,1.2206,0.997,0.0,0.0,-0.182,34.38,N,,19.184,17.98,0.36,,Simbad
285.9212744,11.2145947,767,J1109.4-4815,0,Y,PMN J1109-4815,167.3286,-48.25535,0.026,0.135,bcu II,LSP,12.97,12.97,,0.992,0.908,0.0,0.61,369.0,A,,,,,,Simbad
180.4357807,66.1949758,768,J1109.6+3734,0,Y,NVSS J110938+373609,167.41147,37.60252,0.025,0.06,bll,ISP,14.64,14.785,0.39742,0.994,0.0,0.0,-0.06,4.68,N,,18.995,17.84,0.22,,Simbad
133.6139411,43.410815,769,J1110.0+7134,0,Y,RX J1110.5+7133,167.65666,71.56572,0.049,0.056,bll,HSP,15.55,15.55,,0.994,0.0,0.815,,56.02,N,17.8,17.634,,0.4,1.17,Simbad
272.0084238,38.1362361,770,J1110.4-1835,0,Y,CRATES J111027.78-183552.6,167.61572,-18.59798,0.004,0.057,bll,ISP,14.85,14.85,,0.999,0.816,0.0,,47.08,N,,18.817,,0.61,1.48,Simbad
186.9344641,67.5526455,771,J1112.4+3449,0,Y,TXS 1109+350,168.16154,34.77753,0.059,0.053,fsrq,LSP,12.9,13.371,1.956,0.998,0.817,0.0,0.906,166.04,N,,19.553,18.87,0.67,1.17,Simbad
229.8494841,65.3783282,772,J1112.6+1749,0,Y,1RXS J111224.2+175131,168.10271,17.85605,0.061,0.079,bll,HSP,17.05,17.203,0.421,0.991,0.0,0.803,0.174,14.4,N,23.5,18.323,17.89,0.33,1.06,Simbad
225.5856462,67.3726967,773,J1117.0+2014,0,Y,RBS 0958,169.27605,20.23538,0.003,0.025,bll,HSP,16.03,16.086,0.138,1.0,0.918,0.981,-0.792,103.21,N,542.0,14.845,15.74,0.36,0.84,Simbad
211.1851879,69.005319,774,J1117.3+2546,0,Y,RX J1117.6+2548,169.4183,25.8128,0.086,0.145,bll,HSP,15.6,15.6,,0.985,0.0,0.0,,13.04,N,,19.136,16.2,0.18,1.6,Simbad
286.7384576,13.3564352,775,J1117.7-4632,0,Y,PKS 1116-46,169.61232,-46.57083,0.116,0.109,fsrq,LSP,13.04,13.274,0.713,0.995,0.908,0.0,0.111,957.0,A,31.3,16.844,,0.67,1.19,Simbad
149.2118846,58.1646884,776,J1117.9+5355,0,Y,NVSS J111757+535553,169.48851,53.9319,0.006,0.033,bll,HSP,15.55,15.55,,1.0,0.806,0.846,,12.65,N,6.67,17.632,17.15,0.26,1.42,Simbad
263.6946896,51.4034493,777,J1118.2-0411,0,Y,PMN J1118-0413,169.55178,-4.22343,0.031,0.126,agn,LSP,12.935,12.935,,0.994,0.808,0.0,,164.45,N,,20.069,,0.69,,Simbad
280.6257729,28.0760125,778,J1119.7-3046,0,Y,1RXS J111941.0-304652,169.91504,-30.78986,0.023,0.084,bll,HSP,17.516,17.666,0.412,0.999,0.0,0.0,0.151,9.58,N,,19.205,,0.44,0.94,Simbad
167.8537259,66.1628437,779,J1120.8+4212,0,Y,RBS 0970,170.20026,42.20346,0.007,0.025,bll,HSP,17.13,17.181,0.124,1.0,0.862,0.965,0.042,24.22,N,138.0,17.239,16.72,0.43,0.76,Simbad
266.2159108,50.4433255,780,J1121.4-0554,0,Y,PKS 1118-05,170.35462,-5.89901,0.012,0.037,fsrq,LSP,11.93,12.291,1.297,1.0,0.952,0.841,0.849,588.4,N,7.58,19.884,,0.84,0.88,Simbad
131.768751,43.0928485,781,J1123.6+7231,0,Y,RX J1123.8+7230,170.95492,72.50006,0.03,0.069,bll,-,,,,0.998,0.0,0.908,,12.58,N,69.8,18.512,,0.4,0.74,Simbad
218.1779867,69.9753338,782,J1124.1+2337,0,Y,OM 235,171.01127,23.61274,0.028,0.085,fsrq,LSP,12.62,13.117,1.549,0.999,0.913,0.0,0.767,525.72,N,,,19.57,0.82,1.14,Simbad
153.6405593,62.0809407,783,J1124.9+4932,0,Y,GB6 J1124+4933,171.22428,49.56938,0.03,0.051,bll,HSP,16.2,16.2,,0.998,0.0,0.877,,21.11,N,27.3,17.887,18.15,0.41,0.99,Simbad
277.2898841,37.5192921,784,J1125.0-2101,0,Y,PMN J1125-2100,171.28582,-21.01828,0.029,0.058,bcu II,HSP,15.55,15.55,,0.997,0.0,0.803,-0.633,36.41,N,10.4,16.922,,0.41,1.42,Simbad
284.0374203,23.7487701,785,J1125.5-3558,0,Y,PMN J1125-3556,171.38117,-35.95093,0.019,0.047,bll,ISP,14.7,14.809,0.284,1.0,0.902,0.0,-0.228,208.41,N,,16.732,,0.47,1.64,Simbad
269.1375719,49.4680148,786,J1125.8-0745,0,N,1RXS J112551.6-074219,171.46655,-7.70589,0.046,0.103,bll,HSP,15.55,15.657,0.279,0.998,0.0,0.865,-0.856,39.37,N,53.8,16.421,16.93,0.36,1.08,Simbad
228.1330816,69.2357849,787,J1125.9+2007,0,Y,4C +20.25,171.49476,20.09843,0.036,0.126,fsrq,ISP,14.7,14.754,0.13297,0.991,0.905,0.0,-0.68,688.99,N,6.34,14.765,15.91,0.54,1.58,Simbad
285.2423717,21.4658714,788,J1126.7-3834,0,Y,PKS 1124-382,171.68389,-38.4789,0.093,0.09,bcu II,LSP,12.515,12.515,,0.936,0.865,0.0,0.346,530.36,N,,20.635,,0.8,0.73,Simbad
276.7251418,39.585291,789,J1127.0-1857,0,Y,PKS 1124-186,171.7683,-18.95484,0.005,0.019,fsrq,LSP,13.0,13.311,1.048,1.0,0.967,0.968,0.538,536.75,N,115.0,19.141,,0.82,0.54,Simbad
180.2299999,70.0669859,790,J1127.8+3618,0,Y,MG2 J112758+3620,171.9953,36.34121,0.043,0.058,fsrq,LSP,12.48,12.755,0.884,0.996,0.857,0.0,1.159,168.55,N,,19.402,19.65,0.74,,Simbad
141.1378581,54.6677366,791,J1128.0+5921,0,Y,TXS 1125+596,172.05559,59.42078,0.075,0.177,fsrq,LSP,12.5,12.946,1.795,0.981,0.808,0.0,1.747,301.59,N,,,15.9,0.48,,Simbad
177.7723597,69.9702161,792,J1129.0+3705,0,N,B2 1126+37,172.29094,37.15265,0.06,0.056,agn,-,,,,0.0,0.815,0.0,,158.08,N,,,,,,Simbad
178.0155168,70.0235402,793,J1129.0+3705,0,N,MG2 J112910+3702,172.30964,37.05498,0.05,0.056,bll,LSP,13.6,13.6,,0.992,0.0,0.0,,60.91,N,,20.097,18.45,0.61,,Simbad
287.2294182,18.1337006,794,J1129.4-4215,0,N,SUMSS J113006-421441,172.52879,-42.24497,0.128,0.128,bcu I,-,,,0.1563,0.0,0.0,0.83,,261.4,S,88.3,14.496,,,1.46,Simbad
275.2808076,43.6383416,795,J1129.9-1446,0,Y,PKS 1127-14,172.52939,-14.82427,0.059,0.08,fsrq,LSP,12.65,12.989,1.184,0.999,0.973,0.825,2.148,5622.89,N,30.1,16.322,,0.75,1.19,Simbad
141.7670429,55.9513149,796,J1131.1+5810,0,Y,1RXS J113117.8+580911,172.82762,58.14966,0.031,0.063,bll,ISP,14.75,14.884,0.36,0.997,0.0,0.0,-0.313,44.55,N,2.93,16.551,16.15,0.3,1.71,Simbad
174.4540613,69.7977672,797,J1131.4+3819,0,N,B2 1128+38,172.72201,38.25515,0.126,0.2,fsrq,LSP,12.29,12.727,1.733,0.996,0.857,0.0,0.822,702.58,N,9.7,19.038,18.43,0.75,1.04,Simbad
268.9238396,52.5076323,798,J1131.9-0503,0,N,PKS 1128-047,172.87715,-5.00546,0.132,0.102,bcu I,LSP,12.865,12.967,0.266,0.922,0.818,0.0,1.013,561.32,N,,19.102,17.37,0.62,1.66,Simbad
264.2531195,57.4142946,799,J1132.7+0034,0,Y,PKS B1130+008,173.19008,0.5744,0.004,0.035,bll,ISP,13.84,14.065,0.678,0.999,0.95,0.802,0.217,469.61,N,3.87,17.377,17.5,0.57,1.45,Simbad
251.3571682,65.0769492,800,J1132.8+1015,0,N,4C +10.33,173.24787,10.39506,0.141,0.512,fsrq,-,,,0.53967,0.811,0.8,0.0,-0.367,879.72,N,18.6,16.642,17.04,0.61,1.19,Simbad
297.79722,-12.1460853,801,J1136.1-7411,0,N,PKS 1133-739,174.04025,-74.26258,0.064,0.1,bcu II,LSP,13.04,13.04,,0.992,0.938,0.0,0.989,1241.0,S,,20.47,,0.82,,Simbad
184.8591519,72.4526388,802,J1136.4+3405,0,Y,MG2 J113627+3408,174.11393,34.12763,0.029,0.118,fsrq,LSP,12.32,12.688,1.332,0.996,0.801,0.0,2.907,136.58,N,,19.448,19.34,0.69,,Simbad
133.4530251,47.9507067,803,J1136.6+6736,0,Y,RX J1136.5+6737,174.12536,67.61787,0.015,0.035,bll,HSP,16.305,16.36,0.136,1.0,0.853,0.965,-0.635,45.9,N,238.0,15.017,15.71,0.29,0.98,Simbad
131.9097657,45.641013,804,J1136.6+7009,1,Y,Mkn 180,174.11004,70.15759,0.016,0.022,bll,HSP,15.755,15.774,0.045,1.0,0.944,0.979,-0.886,328.55,N,567.0,10.594,,0.02,1.7,Simbad
213.090164,73.2735092,805,J1136.9+2551,0,Y,RX J1136.8+2551,174.20887,25.84789,0.027,0.049,bll,-,,,0.156,0.999,0.0,0.806,,16.42,N,8.26,15.574,15.99,0.22,1.5,Simbad
151.0016041,63.9525856,806,J1138.2+4905,0,Y,GB6 J1138+4858,174.50861,48.98245,0.12,0.205,bcu II,LSP,12.935,12.935,,0.91,0.0,0.0,2.756,43.05,N,,20.41,20.56,0.69,0.99,Simbad
244.5705682,69.7982187,807,J1140.4+1529,0,Y,NVSS J114023+152808,175.09813,15.46893,0.029,0.056,bll,HSP,15.9,15.995,0.244,0.999,0.827,0.0,0.325,70.1,N,87.3,16.999,16.67,0.38,1.03,Simbad
132.5570333,47.7213781,808,J1141.2+6805,0,Y,1RXS J114118.3+680433,175.32717,68.07499,0.024,0.058,bcu II,HSP,15.65,15.65,,0.995,0.0,0.0,0.497,22.53,N,2.17,19.785,20.44,0.56,1.12,Simbad
278.4856,45.4036743,809,J1141.6-1406,0,Y,1RXS J114142.2-140757,175.4242,-14.13188,0.016,0.087,bcu II,HSP,16.19,16.19,,0.997,0.0,0.835,-0.167,59.9,N,22.3,18.273,,0.47,1.08,Simbad
244.5669705,70.3304712,810,J1142.0+1546,0,Y,MG1 J114208+1547,175.53223,15.79838,0.034,0.053,bll,LSP,13.04,13.154,0.299,0.998,0.907,0.0,0.698,334.2,N,,19.852,19.51,0.83,,Simbad
136.7314802,53.8924081,811,J1143.0+6123,0,Y,87GB 114026.7+613850,175.80041,61.36966,0.019,0.042,bll,LSP,13.48,13.48,,0.998,0.868,0.0,,84.03,N,,16.955,17.36,0.47,1.62,Simbad
235.7271555,73.0384236,812,J1145.1+1935,0,Y,3C 264,176.27087,19.60632,0.019,0.082,rdg,-,,,0.02172,0.996,0.971,0.0,,3514.05,N,,8.564,11.76,0.29,2.01,Simbad
156.1524637,68.305634,813,J1145.8+4425,0,Y,B3 1143+446A,176.41049,44.33942,0.089,0.126,fsrq,LSP,13.64,13.754,0.29984,0.975,0.837,0.0,-0.747,362.71,N,,18.007,17.03,0.55,,Simbad
164.9505885,71.4704623,814,J1146.8+3958,0,N,S4 1144+40,176.74291,39.9762,0.016,0.027,fsrq,LSP,12.97,13.29,1.089,1.0,0.941,0.0,0.565,331.54,N,,18.291,18.29,0.71,1.13,Simbad
165.0106248,71.4660373,815,J1146.8+3958,0,N,NVSS J114653+395751,176.72277,39.96414,0.005,0.027,bcu III,-,,,,0.0,0.857,0.0,,24.58,N,,,,,,Simbad
289.239678,22.9500023,816,J1147.0-3811,0,Y,PKS 1144-379,176.75571,-38.20306,0.02,0.041,fsrq,LSP,12.83,13.141,1.048,1.0,0.971,0.891,-0.216,1804.31,N,25.2,16.946,,0.7,1.16,Simbad
276.6395764,52.1846604,817,J1147.8-0725,0,Y,PKS 1145-071,176.96481,-7.41143,0.015,0.045,fsrq,LSP,12.74,13.11,1.342,0.999,0.952,0.0,0.826,740.54,N,,18.245,,0.74,1.26,Simbad
219.5318539,75.863681,818,J1149.5+2443,0,N,RX J1149.5+2439,177.37648,24.65748,0.064,0.128,bll,-,,,0.402,0.992,0.0,0.878,,28.64,N,97.3,18.203,17.71,0.34,0.85,Simbad
221.1485066,75.9556161,819,J1150.3+2417,0,Y,OM 280,177.58005,24.29829,0.017,0.043,bll,ISP,13.95,14.022,0.18,1.0,0.955,0.0,-0.293,798.26,N,,16.253,15.48,0.49,1.79,Simbad
159.1107941,70.6799451,820,J1150.5+4155,0,Y,RBS 1040,177.64481,41.91112,0.011,0.021,bll,HSP,15.7,15.7,,1.0,0.868,0.94,,26.48,N,37.5,16.816,16.67,0.29,1.21,Simbad
136.9119444,56.4809893,821,J1151.4+5858,0,Y,TXS 1148+592,177.85275,58.98821,0.009,0.028,bll,ISP,14.72,14.72,,0.999,0.928,0.893,,184.88,N,13.0,16.706,15.63,0.35,1.56,Simbad
281.5104356,46.5661914,822,J1151.4-1346,0,Y,PMN J1151-1347,177.87488,-13.79746,0.024,0.058,bll,LSP,13.705,13.969,0.838,0.997,0.0,0.0,-0.063,35.26,N,,18.961,,0.53,,Simbad
279.0627266,51.4252962,823,J1152.3-0841,0,Y,PKS B1149-084,178.07171,-8.68425,0.014,0.068,fsrq,LSP,12.305,12.833,2.37,1.0,0.937,0.0,0.656,697.97,N,,19.674,,0.84,1.09,Simbad
160.6194838,72.036638,824,J1153.4+4033,0,Y,B3 1151+408,178.47775,40.61462,0.106,0.106,fsrq,LSP,12.71,12.992,0.916,0.97,0.905,0.0,-0.037,1136.21,N,,20.355,19.01,0.79,,Simbad
145.5489364,64.983251,825,J1153.4+4932,0,Y,OM 484,178.35194,49.51912,0.017,0.033,fsrq,LSP,13.092,13.217,0.334,1.0,0.972,0.936,0.345,1572.78,N,58.4,17.007,16.69,0.65,1.07,Simbad
286.9407973,35.1624137,826,J1153.7-2555,0,Y,PMN J1153-2553,178.36011,-25.90192,0.069,0.077,bcu III,-,,,,0.94,0.0,0.0,,84.45,N,,,,,,Simbad
289.2037989,28.626786,827,J1154.0-3243,0,Y,PKS 1151-324,178.52569,-32.71194,0.016,0.039,bcu II,LSP,13.2,13.2,,1.0,0.913,0.0,0.374,211.54,N,,18.88,,0.66,,Simbad
273.7994429,59.4183306,828,J1154.2-0010,0,Y,1RXS J115404.9-001008,178.51898,-0.16941,0.035,0.051,bll,HSP,16.47,16.568,0.254,0.997,0.0,0.9,0.005,10.74,N,48.1,18.009,17.41,0.29,0.96,Simbad
135.368322,55.3491723,829,J1154.3+6023,0,Y,RX J1154.0+6022,178.5189,60.37245,0.038,0.104,fsrq,LSP,12.48,12.806,1.12,0.999,0.0,0.0,1.681,97.15,N,,20.066,19.37,0.66,1.15,Simbad
289.9272281,27.1623889,830,J1155.4-3417,0,Y,NVSS J115520-341718,178.83549,-34.2888,0.024,0.043,bcu II,HSP,15.8,15.8,,0.999,0.0,0.0,0.061,23.82,N,,16.838,,0.26,,Simbad
134.2284301,54.2929719,831,J1155.9+6136,0,Y,SDSS J115548.40+613553.8,178.95169,61.5983,0.012,0.118,bll,-,,,,0.991,0.0,0.0,,3.37,N,,,18.57,0.39,,Simbad
286.755863,38.3071733,832,J1156.7-2250,0,Y,NVSS J115633-225004,179.13824,-22.83447,0.041,0.063,bcu II,HSP,15.4,15.4,,0.997,0.0,0.0,-0.214,17.17,N,,17.899,,0.33,,Simbad
265.1594607,68.5478559,833,J1158.8+0941,0,Y,GB6 J1158+0937,179.72656,9.61991,0.067,0.089,bll,ISP,14.72,14.72,,0.99,0.0,0.0,,34.22,N,,18.367,17.9,0.43,,Simbad
267.0075289,67.4631126,834,J1158.9+0818,0,Y,RX J1158.8+0819,179.72276,8.33329,0.023,0.063,bcu III,-,,,,0.998,0.0,0.0,-2.498,7.39,N,8.6,,21.5,0.55,0.73,Simbad
287.1785735,39.5608129,835,J1159.2-2141,0,Y,PMN J1159-2142,179.8393,-21.71248,0.031,0.053,fsrq,LSP,13.005,13.214,0.617,1.0,0.907,0.0,0.618,321.08,N,,19.037,,0.7,,Simbad
287.3852281,38.8123125,836,J1159.3-2226,0,Y,PKS 1156-221,179.79695,-22.47692,0.045,0.047,bcu I,LSP,12.865,13.06,0.565,0.99,0.946,0.0,0.971,1178.33,N,,18.848,,0.72,1.19,Simbad
199.4136186,78.3743278,837,J1159.5+2914,0,Y,Ton 599,179.88264,29.24551,0.008,0.017,fsrq,LSP,13.11,13.347,0.725,1.0,0.985,0.925,0.326,2031.72,N,14.9,17.417,17.71,0.77,1.11,Simbad
281.0780389,53.2559954,838,J1159.6-0723,0,Y,PMN J1159-0723,179.88251,-7.39896,0.024,0.069,bcu II,LSP,13.95,13.95,,0.995,0.82,0.0,-0.14,77.15,N,,18.886,,0.55,,Simbad
261.3055088,71.1610722,839,J1200.8+1228,0,Y,GB6 J1200+1230,180.16679,12.51756,0.067,0.077,bcu II,LSP,13.53,13.53,,0.902,0.0,0.0,0.287,44.93,N,,19.98,18.35,0.49,,Simbad
241.3972575,76.5054951,840,J1200.9+2010,0,Y,TXS 1158+204,180.23797,20.14572,0.035,0.115,bcu II,LSP,12.69,12.69,,0.992,0.805,0.0,1.313,141.43,N,,,,,,Simbad
133.4494912,55.6073854,841,J1203.1+6029,0,Y,SBS 1200+608,180.76461,60.52199,0.03,0.05,bll,ISP,14.9,14.927,0.0653,0.995,0.885,0.833,-0.952,190.94,N,13.3,11.906,14.55,0.38,1.55,Simbad
160.6652659,74.5039484,842,J1203.2+3847,0,Y,NVSS J120257+385147,180.7379,38.86302,0.09,0.114,bll,ISP,14.08,14.08,,0.956,0.0,0.0,,24.04,N,,,18.19,0.42,1.38,Simbad
315.6124699,52.4752832,964,J1322.8-0938,0,N,PKS B1319-093,200.6538,-9.62717,0.054,0.09,fsrq,LSP,12.53,12.987,1.864,0.992,0.884,0.0,1.54,403.58,N,,19.262,,0.78,0.99,Simbad
292.8941604,22.4930591,843,J1203.5-3925,0,Y,PMN J1203-3926,180.82413,-39.43853,0.046,0.046,bcu II,HSP,15.85,15.85,,0.993,0.0,0.856,-0.335,64.66,N,30.0,17.863,,0.45,1.12,Simbad
264.8283512,71.0542836,844,J1204.0+1144,0,Y,1RXS J120413.0+114549,181.05048,11.76537,0.046,0.069,bll,HSP,16.2,16.313,0.296,0.996,0.0,0.83,-0.517,15.24,N,22.9,17.74,17.18,0.29,1.17,Simbad
282.8306674,53.851835,845,J1204.3-0708,0,Y,1RXS J120417.0-070959,181.06944,-7.16917,0.037,0.039,bll,HSP,15.05,15.123,0.184,0.996,0.869,0.863,-0.736,168.88,N,21.6,15.313,,0.33,1.5,Simbad
275.9052443,64.58165,846,J1205.4+0412,0,N,PKS 1203+04,181.58303,4.10335,0.236,0.224,ssrq,-,,,0.536,0.0,0.862,0.0,1.732,1502.31,N,,,19.23,0.77,,Simbad
275.0955939,64.4617837,847,J1205.4+0412,0,N,MG1 J120448+0408,181.21531,4.13725,0.176,0.224,fsrq,LSP,13.07,13.539,1.947,0.848,0.0,0.0,,133.6,N,,,20.04,0.74,,Simbad
290.362221,35.1813982,848,J1205.8-2636,0,Y,PKS 1203-26,181.38838,-26.56791,0.076,0.073,fsrq,LSP,13.145,13.398,0.789,0.997,0.937,0.0,1.162,1654.38,N,16.6,19.373,,0.86,0.87,Simbad
289.8453629,39.2085796,849,J1207.6-2232,0,Y,NVSS J120738-223250,181.90879,-22.54751,0.013,0.132,bcu II,LSP,12.62,12.62,,0.981,0.0,0.0,1.682,59.32,N,,20.361,,0.62,,Simbad
294.9548406,16.6883231,850,J1207.6-4537,0,Y,PMN J1207-4531,181.92579,-45.50494,0.123,0.143,bcu III,-,,,,0.901,0.0,0.0,,166.5,S,,18.04,,0.49,,Simbad
