_Glon,_Glat,recno,3FGL,VHE,CName,RAJ2000,DEJ2000,Sep,PosErr,SpCl,SEDCl,lognu,lognuRf,z,Prob,LR-RG,LR-XG,NED,FRad,n_FRad,FX,Simbad
204.8626604,4.9466833,66,J0654.5+0926,0,RX J0654.3+0925,103.61306,9.42644,0.032,0.231,bcu II,HSP,15.35,15.35,,,,0.84,NED,44.4,N,50.3,Simbad
216.4855835,-0.4883416,67,J0656.2-0323,0,TXS 0653-033,104.04634,-3.38522,0.009,0.053,fsrq,LSP,13.495,13.708,0.634,1.0,0.929,,NED,403.0,N,,Simbad
207.8584041,4.6323508,68,J0658.6+0636,0,NVSS J065844+063711,104.68735,6.61943,0.039,0.068,bcu II,HSP,15.0,15.0,,0.999,,,NED,25.0,N,,Simbad
198.4732398,9.576274,69,J0700.0+1709,0,TXS 0657+172,105.00636,17.15603,0.016,0.116,bcu II,LSP,12.725,12.725,,0.999,0.91,,NED,648.0,N,,Simbad
202.2123244,7.8410255,70,J0700.2+1304,0,GB6 J0700+1304,105.05963,13.07345,0.013,0.065,bcu II,HSP,15.425,15.425,,0.998,,,NED,78.0,N,,Simbad
231.9276869,-6.5290499,71,J0702.7-1952,0,TXS 0700-197,105.67875,-19.85612,0.015,0.053,bll,ISP,14.05,14.05,,0.999,0.937,,NED,527.0,N,,Simbad
217.6241744,2.734407,72,J0709.7-0256,0,PMN J0709-0255,107.43773,-2.92153,0.019,0.039,bll,LSP,12.83,13.223,1.472,0.998,0.898,,NED,153.0,N,,Simbad
212.6691673,8.5351143,73,J0721.4+0404,0,PMN J0721+0406,110.34963,4.11228,0.041,0.082,fsrq,LSP,12.7,12.921,0.665,0.999,0.881,,NED,313.0,N,12.9,Simbad
223.2412459,3.5191787,74,J0723.2-0728,0,1RXS J072259.5-073131,110.74895,-7.52649,0.079,0.09,bcu III,-,,,,0.976,,0.899,NED,85.0,N,150.0,Simbad
217.6970992,7.2271714,75,J0725.8-0054,0,PKS 0723-008,111.461,-0.91571,0.01,0.044,bcu I,LSP,13.355,13.407,0.128,1.0,0.967,,NED,1400.0,N,,Simbad
245.1292198,-6.5104414,76,J0729.5-3127,0,NVSS J072922-313128,112.3457,-31.52438,0.078,0.157,bcu II,LSP,13.133,13.133,,0.979,,,NED,38.0,N,,Simbad
227.7679097,3.140354,77,J0730.2-1141,0,PKS 0727-11,112.57964,-11.68683,0.006,0.013,fsrq,LSP,12.3,12.713,1.589,1.0,0.989,,NED,2760.0,N,,Simbad
222.4080077,6.0657994,78,J0730.5-0537,0,TXS 0728-054,112.61849,-5.59636,0.027,0.05,bcu II,HSP,15.2,15.2,,0.997,0.882,,NED,168.0,N,,Simbad
252.3344834,-7.0422443,79,J0744.1-3804,0,PMN J0743-3804,115.93736,-38.0665,0.08,0.269,bcu III,-,,,,0.936,,,NED,223.0,N,,Simbad
254.5981177,-8.0925167,80,J0744.8-4028,0,PMN J0744-4032,116.15929,-40.53806,0.083,0.078,bcu II,LSP,12.62,12.62,,0.872,,,NED,65.0,A,,Simbad
225.7095754,8.8065211,81,J0746.6-0706,0,PMN J0746-0709,116.61456,-7.16379,0.067,0.098,bcu II,ISP,14.23,14.23,,0.983,,,NED,55.0,N,,Simbad
248.4262162,-3.9960626,82,J0747.2-3311,0,PKS 0745-330,116.83201,-33.17971,0.016,0.033,bcu II,LSP,13.85,13.85,,1.0,0.958,,NED,726.0,N,,Simbad
234.2240624,4.4576429,83,J0748.0-1639,0,TXS 0745-165,117.01285,-16.66396,0.009,0.125,bcu II,LSP,11.92,11.92,,0.997,0.915,,NED,803.0,N,,Simbad
230.7590687,8.241238,84,J0754.4-1148,0,TXS 0752-116,118.61024,-11.78804,0.027,0.039,bll,LSP,13.355,13.355,,1.0,0.953,,NED,881.0,N,,Simbad
253.0425501,-2.7577207,85,J0804.0-3629,0,NVSS J080405-362919,121.02237,-36.48863,0.008,0.045,bcu II,HSP,15.92,15.92,,0.999,0.852,,NED,57.0,N,,Simbad
244.3249722,6.1207409,86,J0816.7-2421,0,PMN J0816-2421,124.16838,-24.35183,0.012,0.073,bcu II,LSP,12.34,12.34,,0.999,0.873,,NED,191.0,N,,Simbad
252.0571956,3.296663,87,J0825.8-3217,0,PKS 0823-321,126.46405,-32.30645,0.023,0.066,bcu II,ISP,14.03,14.03,,0.999,0.914,,NED,393.0,N,,Simbad
243.9902521,8.9302235,88,J0825.9-2230,0,PKS 0823-223,126.50655,-22.50756,0.008,0.018,bll,ISP,14.16,14.441,0.911,1.0,0.966,0.947,NED,520.0,N,36.9,Simbad
245.8456044,8.4066306,89,J0828.8-2420,0,NVSS J082841-241850,127.17383,-24.31403,0.041,0.098,bcu III,-,,,,,0.853,,NED,249.0,N,,Simbad
